,condition_0_Cntrl_1_Wuhan_3_Omicron_4_SYN1,time_in_sec,Cyto_DM,Nuclei_DM,Nucleoli_DM,Ld_DM,Mito_DM,Syncytia_Score
0,0.0,180.0,0.00038695926,0.000837466,0.0010191601,0.0011697415,0.00046957057,0.0
1,0.0,180.0,0.0003052506,0.00046489373,0.0007037968,0.0010974741,0.00045675124,0.0
2,0.0,180.0,0.00039398987,0.00043490407,0.00072315685,0.0011560497,0.0005362321,0.0
3,0.0,180.0,0.00032819595,0.0004465541,0.0007605269,0.001328794,0.0004645547,0.0
4,0.0,180.0,0.00024009604,0.0003649158,0.0005923416,0.0011302079,0.00039356205,0.0
5,0.0,180.0,0.00026626696,0.00035210265,0.0005871674,0.00011734963,0.00046182383,0.0
6,0.0,180.0,0.00026682788,0.0003430233,0.0007046166,0.0012042238,0.0004329891,0.0
7,0.0,180.0,0.0003113302,0.0004164409,0.00067431305,0.0011208917,0.00044192447,0.0
8,0.0,180.0,0.00027648336,0.0006704469,0.000967369,0.0011615426,0.000493787,0.0
9,0.0,180.0,0.00034273858,0.00047188916,0.0007005851,0.0010763656,0.0004883428,0.0
10,0.0,180.0,0.0004356081,0.00053989503,0.0008566636,0.0009549233,0.0005317008,0.0
11,0.0,180.0,0.00030724783,0.00034159623,0.0005856658,0.0006363678,0.00045520984,0.0
12,0.0,180.0,0.00029823012,0.00036772422,0.00065469294,0.00090924825,0.00043713796,0.0
13,0.0,180.0,0.00032970132,0.00074081984,0.0010241527,0.0010312868,0.0004956692,0.0
14,0.0,180.0,0.0002808525,0.00036864437,0.0005583246,0.00011734963,0.00042368763,0.0
15,0.0,210.0,0.00035853963,0.0004757189,0.00074197643,0.0011175957,0.00052963535,0.0
16,0.0,210.0,0.0007106548,0.0009459319,0.0013252653,0.001048437,0.0005335878,0.0
17,0.0,210.0,0.0002628809,0.00036254094,0.0005747533,0.00114526,0.00041559388,0.0
18,0.0,210.0,0.0002512304,0.00033222965,0.0005441809,0.0010231993,0.00040634588,0.0
